# Landmarks detected on a calibration target
# calibration_data/images/image0006.png
# CalibrationDetectorChessboardX
# BoofCV Version: 0.41
# BoofCV GITSHA: 1149a348371b50f5da3c080e9538dff94ad8f672
# (landmark id), pixel-x, pixel-y
0,445.5636291503906,150.0084991455078
1,445.9518127441406,127.30298614501953
2,446.32562255859375,104.21424102783203
3,446.7245178222656,80.75654602050781
4,447.12530517578125,57.30495071411133
5,447.54315185546875,33.76450729370117
6,467.9985046386719,149.8689422607422
7,468.4320373535156,126.62801361083984
8,469.2704772949219,103.5369644165039
9,469.9001159667969,80.06720733642578
10,470.3138427734375,56.43083190917969
11,470.68719482421875,32.58372116088867
12,491.3333740234375,149.68077087402344
13,491.8603515625,126.27947235107422
14,492.4043884277344,102.67500305175781
15,493.32049560546875,79.14250946044922
16,493.9300842285156,55.40541458129883
17,494.2818298339844,31.548158645629883
18,515.0986938476562,149.6109161376953
19,515.6905517578125,125.90841674804688
20,516.305419921875,102.15743255615234
21,517.3117065429688,78.21224212646484
22,517.946533203125,54.20207977294922
23,518.3648681640625,29.9776554107666
24,539.3097534179688,149.5408935546875
25,539.9796142578125,125.66825103759766
26,540.7238159179688,101.6875
27,541.7811889648438,77.57136535644531
28,542.2797241210938,53.39262771606445
29,542.8043212890625,29.04237937927246
30,563.7925415039062,149.5201416015625
31,564.5951538085938,125.53121185302734
32,565.7742309570312,101.40547180175781
33,566.4037475585938,77.09664916992188
34,567.00830078125,52.61043167114258
35,568.0130004882812,27.64878273010254
36,588.51318359375,149.55177307128906
37,589.8380126953125,125.40150451660156
38,590.6080322265625,101.1053695678711
39,591.372314453125,76.5640869140625
40,592.66943359375,51.396366119384766
41,593.5445556640625,26.558874130249023
42,614.0104370117188,149.59454345703125
43,614.9208374023438,125.27412414550781
44,616.2398681640625,100.62898254394531
45,617.3666381835938,75.45465850830078
46,618.33203125,50.58967590332031
47,620.0737915039062,24.9874324798584
