# Landmarks detected on a calibration target
# calibration_data/images/image0002.png
# CalibrationDetectorChessboardX
# BoofCV Version: 0.41
# BoofCV GITSHA: 1149a348371b50f5da3c080e9538dff94ad8f672
# (landmark id), pixel-x, pixel-y
0,230.15130615234375,189.1967010498047
1,230.48341369628906,216.76065063476562
2,230.9249267578125,244.787841796875
3,231.15402221679688,272.8695068359375
4,231.49319458007812,301.8647155761719
5,231.74440002441406,330.64013671875
6,203.80857849121094,185.9803466796875
7,204.1309814453125,214.330078125
8,204.37130737304688,242.76419067382812
9,204.48028564453125,272.03326416015625
10,204.64987182617188,301.4268493652344
11,204.6588134765625,331.3499450683594
12,176.5745086669922,182.6118927001953
13,176.7904510498047,211.56272888183594
14,176.80433654785156,240.66848754882812
15,176.776123046875,270.48406982421875
16,176.56259155273438,300.7174987792969
17,176.37564086914062,331.795654296875
18,147.57240295410156,179.1001739501953
19,147.23829650878906,208.806884765625
20,147.0998077392578,238.86805725097656
21,146.91180419921875,269.4133605957031
22,146.8332061767578,300.29327392578125
23,146.5611572265625,332.0979919433594
24,117.01528930664062,175.6403350830078
25,116.53086853027344,206.14266967773438
26,116.13580322265625,236.79624938964844
27,115.80125427246094,268.2672119140625
28,115.48906707763672,299.85797119140625
29,115.13804626464844,332.3309631347656
30,85.08737182617188,172.06239318847656
31,84.14427947998047,203.24783325195312
32,83.54400634765625,234.523681640625
33,82.85767364501953,266.86553955078125
34,82.21597290039062,299.51116943359375
35,81.36129760742188,332.6343078613281
36,51.61079025268555,168.1926727294922
37,50.62537384033203,200.23385620117188
38,49.816246032714844,232.6723175048828
39,48.439701080322266,265.6365966796875
40,47.56794357299805,299.1336364746094
41,46.7789421081543,332.9111633300781
42,16.564678192138672,164.3895721435547
43,14.98803424835205,197.11532592773438
44,13.891327857971191,230.264892578125
45,12.175944328308105,263.860107421875
46,11.01419734954834,298.59124755859375
47,9.349874496459961,333.2638244628906
