# Landmarks detected on a calibration target
# calibration_data/images/image0007.png
# CalibrationDetectorChessboardX
# BoofCV Version: 0.41
# BoofCV GITSHA: 1149a348371b50f5da3c080e9538dff94ad8f672
# (landmark id), pixel-x, pixel-y
0,399.1986389160156,444.9305725097656
1,404.003173828125,417.4675598144531
2,408.1232604980469,391.32958984375
3,412.656494140625,365.9379577636719
4,416.5771484375,341.9203186035156
5,420.3375244140625,318.66845703125
6,426.616943359375,447.6261291503906
7,430.9342346191406,419.7551574707031
8,434.6478576660156,392.9231262207031
9,438.3670959472656,367.55755615234375
10,442.147216796875,342.89056396484375
11,445.5909423828125,319.5599060058594
12,455.20538330078125,450.28558349609375
13,458.6672668457031,422.2411193847656
14,462.0210876464844,395.1138916015625
15,465.2646484375,368.7666320800781
16,468.3517761230469,344.05706787109375
17,471.3125305175781,320.0856018066406
18,484.443359375,452.780029296875
19,487.57568359375,424.3524169921875
20,490.65423583984375,396.7357482910156
21,493.3324279785156,370.48883056640625
22,495.7656555175781,344.83233642578125
23,498.1334228515625,320.3748474121094
24,514.9603881835938,455.8186950683594
25,517.541748046875,426.4358215332031
26,519.6674194335938,398.55316162109375
27,521.8970947265625,371.5932312011719
28,524.1695556640625,345.6877136230469
29,526.0028076171875,320.84075927734375
30,546.1991577148438,459.0497741699219
31,548.2796630859375,429.0860900878906
32,549.9212036132812,400.73291015625
33,551.6357421875,373.3060302734375
34,553.27783203125,347.0470886230469
35,554.5919189453125,321.76611328125
36,578.7250366210938,462.3205261230469
37,579.7706909179688,431.8239440917969
38,581.0619506835938,402.7934265136719
39,581.9590454101562,374.8807373046875
40,583.0003662109375,348.2080383300781
41,583.9465942382812,323.06121826171875
42,612.495361328125,466.0252380371094
43,612.5502319335938,434.6839904785156
44,612.8895263671875,404.9087829589844
45,613.3929443359375,376.8597412109375
46,613.6904907226562,349.87469482421875
47,613.8153076171875,323.6110534667969
