# Landmarks detected on a calibration target
# calibration_data/images/image0000.png
# CalibrationDetectorChessboardX
# BoofCV Version: 0.41
# BoofCV GITSHA: 1149a348371b50f5da3c080e9538dff94ad8f672
# (landmark id), pixel-x, pixel-y
0,203.8159942626953,447.4051208496094
1,209.8037872314453,413.90533447265625
2,215.6392059326172,382.29486083984375
3,221.280029296875,352.3213806152344
4,226.6450958251953,324.0506896972656
5,231.43858337402344,297.43426513671875
6,239.18145751953125,449.0561218261719
7,244.07296752929688,415.2196044921875
8,248.81753540039062,383.179931640625
9,253.57582092285156,353.04339599609375
10,257.81201171875,324.5164489746094
11,261.9185485839844,298.2353210449219
12,274.7942810058594,450.0221862792969
13,278.6003112792969,416.1730651855469
14,282.2935485839844,383.90875244140625
15,286.02838134765625,353.6416015625
16,289.4432067871094,325.4027099609375
17,292.677978515625,298.6202087402344
18,310.6746520996094,450.8358154296875
19,313.49542236328125,416.5770568847656
20,316.2840576171875,384.4599304199219
21,318.5987548828125,354.1277160644531
22,321.0173034667969,325.9497375488281
23,323.3860778808594,298.7734375
24,347.02734375,452.52374267578125
25,348.4693298339844,417.7474060058594
26,350.23583984375,385.4996337890625
27,351.5812072753906,354.7464294433594
28,353.2428283691406,326.2628173828125
29,354.3202209472656,299.3311767578125
30,383.5370788574219,454.54962158203125
31,383.9527282714844,419.52215576171875
32,384.348876953125,386.63720703125
33,384.94677734375,356.0843200683594
34,385.48681640625,327.07720947265625
35,385.8373718261719,300.0858154296875
36,420.0509033203125,455.8834533691406
37,419.5749816894531,421.28271484375
38,419.050048828125,388.6199645996094
39,418.4853515625,357.4422302246094
40,417.5455017089844,328.814697265625
41,417.0075378417969,301.7507629394531
42,457.1065673828125,457.5982666015625
43,455.3804931640625,422.58074951171875
44,453.5146484375,389.7432556152344
45,452.00048828125,359.02984619140625
46,450.2073974609375,329.9975280761719
47,448.87432861328125,302.5776062011719
