# Landmarks detected on a calibration target
# calibration_data/images/image0005.png
# CalibrationDetectorChessboardX
# BoofCV Version: 0.41
# BoofCV GITSHA: 1149a348371b50f5da3c080e9538dff94ad8f672
# (landmark id), pixel-x, pixel-y
0,419.55615234375,323.24407958984375
1,419.9158630371094,295.9856262207031
2,420.27056884765625,269.1690979003906
3,420.97869873046875,242.77117919921875
4,421.8455505371094,217.05474853515625
5,422.3092041015625,191.74757385253906
6,444.5572509765625,322.5146789550781
7,444.7537841796875,294.2943115234375
8,445.12506103515625,266.89154052734375
9,445.5594177246094,240.0562286376953
10,445.9536437988281,213.79273986816406
11,446.33819580078125,188.06076049804688
12,470.9095458984375,321.4013671875
13,470.9035339355469,293.0798034667969
14,470.95806884765625,264.8808288574219
15,471.01190185546875,237.2606658935547
16,471.1316833496094,210.3639678955078
17,471.2740478515625,184.03688049316406
18,498.2521057128906,320.5683898925781
19,498.0738830566406,291.14337158203125
20,498.1385498046875,262.7834777832031
21,498.0087585449219,234.37615966796875
22,497.8829345703125,206.8325653076172
23,497.58648681640625,179.66921997070312
24,527.7630615234375,319.859375
25,527.2969360351562,289.8135681152344
26,526.8717651367188,260.273681640625
27,526.47412109375,231.20726013183594
28,525.8742065429688,203.19598388671875
29,525.2982788085938,175.50474548339844
30,558.6492309570312,318.67303466796875
31,557.7459106445312,287.9106140136719
32,556.9705200195312,257.7318420410156
33,556.1856079101562,228.14724731445312
34,555.127685546875,199.53253173828125
35,554.5322265625,171.0363311767578
36,590.57958984375,317.6771545410156
37,589.6233520507812,286.4438781738281
38,588.1471557617188,255.3033905029297
39,587.2462158203125,225.08419799804688
40,586.0432739257812,195.60317993164062
41,584.7741088867188,167.04270935058594
42,623.7529296875,316.69671630859375
43,622.4418334960938,284.40380859375
44,620.74560546875,252.71652221679688
45,619.5042114257812,221.86553955078125
46,617.7652587890625,191.7900848388672
47,616.3029174804688,162.19082641601562
