# Landmarks detected on a calibration target
# calibration_data/images/image0003.png
# CalibrationDetectorChessboardX
# BoofCV Version: 0.41
# BoofCV GITSHA: 1149a348371b50f5da3c080e9538dff94ad8f672
# (landmark id), pixel-x, pixel-y
0,216.1803741455078,328.8191833496094
1,212.04254150390625,352.6711730957031
2,207.13140869140625,377.3603210449219
3,202.5077667236328,403.1927185058594
4,197.5492401123047,429.7597351074219
5,192.39474487304688,457.87799072265625
6,193.45518493652344,329.9054870605469
7,188.4273223876953,353.4623718261719
8,183.3216094970703,377.9039611816406
9,178.22706604003906,403.73065185546875
10,173.09127807617188,429.92205810546875
11,167.6185302734375,457.60137939453125
12,170.59429931640625,330.8496398925781
13,165.15843200683594,354.1405944824219
14,159.893798828125,378.3271484375
15,154.41558837890625,403.85595703125
16,149.0778045654297,429.78741455078125
17,143.4149932861328,457.0693359375
18,148.4858856201172,332.170166015625
19,143.11935424804688,355.2639465332031
20,137.3416290283203,379.23236083984375
21,131.37998962402344,404.0757141113281
22,125.3928451538086,429.5300598144531
23,119.35530090332031,456.3214416503906
24,127.19739532470703,333.2332763671875
25,121.65451049804688,356.3994445800781
26,115.62662506103516,380.1590881347656
27,109.46125793457031,404.5475769042969
28,102.7325439453125,429.6473083496094
29,95.79002380371094,456.1518249511719
30,106.75362396240234,334.94488525390625
31,100.75106811523438,357.199951171875
32,94.42637634277344,380.7442932128906
33,88.0134506225586,405.0203857421875
34,81.02964782714844,430.4366149902344
35,74.02178955078125,456.34844970703125
36,86.61400604248047,335.9710998535156
37,80.3082504272461,358.4918212890625
38,73.72989654541016,381.265625
39,66.8451156616211,405.3030700683594
40,59.50545883178711,430.68658447265625
41,51.86324691772461,456.6017150878906
42,66.96121215820312,337.29339599609375
43,60.30093002319336,359.3512878417969
44,53.32451629638672,382.27947998046875
45,45.95770263671875,406.05560302734375
46,38.28656768798828,431.0585021972656
47,29.78607940673828,457.1036071777344
