# Landmarks detected on a calibration target
# calibration_data/images/image0004.png
# CalibrationDetectorChessboardX
# BoofCV Version: 0.41
# BoofCV GITSHA: 1149a348371b50f5da3c080e9538dff94ad8f672
# (landmark id), pixel-x, pixel-y
0,27.53931427001953,149.96812438964844
1,26.307058334350586,126.86375427246094
2,24.59891700744629,103.76311492919922
3,23.145641326904297,80.14726257324219
4,21.167285919189453,56.26225662231445
5,19.602096557617188,32.173763275146484
6,52.10919189453125,149.89410400390625
7,50.743247985839844,127.30804443359375
8,49.7452278137207,104.32081604003906
9,48.14899444580078,81.0215072631836
10,46.958133697509766,57.709468841552734
11,45.147701263427734,34.21771240234375
12,75.48377227783203,149.71726989746094
13,74.59635925292969,127.5228500366211
14,73.6760025024414,104.8039321899414
15,72.28006744384766,82.06946563720703
16,71.34783935546875,59.264869689941406
17,70.01578521728516,35.9396858215332
18,98.68608093261719,149.5896453857422
19,97.91676330566406,127.59733581542969
20,96.55781555175781,105.11311340332031
21,95.68707275390625,83.03644561767578
22,94.94942474365234,60.23862075805664
23,93.74197387695312,37.73475646972656
24,121.20819091796875,149.53831481933594
25,120.11031341552734,127.79169464111328
26,119.3959732055664,105.54147338867188
27,118.6738052368164,83.570068359375
28,117.54164123535156,61.56101989746094
29,116.73933410644531,38.98768997192383
30,142.98837280273438,149.4281005859375
31,142.23155212402344,128.03441619873047
32,141.1434326171875,106.35392761230469
33,140.52305603027344,84.2496337890625
34,139.89898681640625,62.466400146484375
35,138.87152099609375,40.67662811279297
36,164.1585693359375,149.4434814453125
37,163.47601318359375,128.20037078857422
38,162.4151153564453,106.91529083251953
39,161.7518768310547,85.32559967041016
40,161.19834899902344,63.488731384277344
41,160.55990600585938,41.869300842285156
42,184.86293029785156,149.4444122314453
43,184.2313232421875,128.44982147216797
44,183.23475646972656,107.382568359375
45,182.63856506347656,86.17742156982422
46,182.0598602294922,64.92060089111328
47,181.48190307617188,43.54084777832031
